"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Nijmegen";"Nijmegen                           ";"Gelderland               ";"Oost-Nederland           "
"Nijverdal";"Hellendoorn                        ";"Overijssel               ";"Oost-Nederland           "
"Nispen";"Roosendaal                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Nisse";"Borsele                            ";"Zeeland                  ";"West-Nederland           "
"Nistelrode";"Bernheze                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Noardburgum";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Nooitgedacht";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Noorbeek";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Noordbeemster";"Beemster                           ";"Noord-Holland            ";"West-Nederland           "
"Noordbroek";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Noordeinde";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Noordeinde Gld";"Oldebroek                          ";"Gelderland               ";"Oost-Nederland           "
"Noordeloos";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Noorden";"Nieuwkoop                          ";"Zuid-Holland             ";"West-Nederland           "
"Noordgouwe";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Noordhoek";"Moerdijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Noordhorn";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Noordlaren";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Noord-Scharwoude";"Langedijk                          ";"Noord-Holland            ";"West-Nederland           "
"Noordscheschut";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Noord-Sleen";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Noordwelle";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Noordwijk";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Noordwijk";"Noordwijk                          ";"Zuid-Holland             ";"West-Nederland           "
"Noordwijkerhout";"Noordwijk                          ";"Zuid-Holland             ";"West-Nederland           "
"Noordwolde";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Noordwolde";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Nootdorp";"Pijnacker-Nootdorp                 ";"Zuid-Holland             ";"West-Nederland           "
"Norg";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Notter";"Wierden                            ";"Overijssel               ";"Oost-Nederland           "
"Nuenen";"Nuenen, Gerwen en Nederwetten      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Nuis";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Nuland";"'s-Hertogenbosch                   ";"Noord-Brabant            ";"Zuid-Nederland           "
"Numansdorp";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Nunhem";"Leudal                             ";"Limburg                  ";"Zuid-Nederland           "
"Nunspeet";"Nunspeet                           ";"Gelderland               ";"Oost-Nederland           "
"Nuth";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Nutter";"Dinkelland                         ";"Overijssel               ";"Oost-Nederland           "
"Obbicht";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Obdam";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Ochten";"Neder-Betuwe                       ";"Gelderland               ";"Oost-Nederland           "
"Odijk";"Bunnik                             ";"Utrecht                  ";"West-Nederland           "
"Odiliapeel";"Uden                               ";"Noord-Brabant            ";"Zuid-Nederland           "
"Odoorn";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Odoornerveen";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Oeffelt";"Boxmeer                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Oegstgeest";"Oegstgeest                         ";"Zuid-Holland             ";"West-Nederland           "
"Oene";"Epe                                ";"Gelderland               ";"Oost-Nederland           "
"Oentsjerk";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Den Oever";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Offingawier";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Ohé en Laak";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Oijen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Oirlo";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Oirsbeek";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Oirschot";"Oirschot                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Oisterwijk";"Oisterwijk                         ";"Noord-Brabant            ";"Zuid-Nederland           "
"Okkenbroek";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Olburgen";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Oldeberkoop";"Ooststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Oldebroek";"Oldebroek                          ";"Gelderland               ";"Oost-Nederland           "
"Oldeholtpade";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Oldeholtwolde";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Oldehove";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Oldekerk";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Oldelamer";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Oldemarkt";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Oldenzaal";"Oldenzaal                          ";"Overijssel               ";"Oost-Nederland           "
"Oldenzijl";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Oldeouwer";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Oldetrijne";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Olst";"Olst-Wijhe                         ";"Overijssel               ";"Oost-Nederland           "
"Olterterp";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Ommel";"Asten                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Ommen";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Ommeren";"Buren                              ";"Gelderland               ";"Oost-Nederland           "
"Onderdendam";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Onna";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Onnen";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Onstwedde";"Stadskanaal                        ";"Groningen                ";"Noord-Nederland          "
"Ooij";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
